"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MX7,MX4,MX6,MX8,MX2,MX3,MX1,MX9,MX5";"MX-1U-NoLED";9;"MX-NoLED";;;
2;"C8,C5,C4,C6";"C_0805_2012Metric";4;"0.1uF";;;
3;"D2,D5,D4,D6,D7,D1,D3,D8,D9";"D_SOD-123";9;"D_Small";;;
4;"R6,R5";"R_0805_2012Metric";2;"5.1k";;;
5;"C3";"C_0805_2012Metric";1;"1uF";;;
6;"R2,R3";"R_0805_2012Metric";2;"22";;;
7;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
8;"J1";"USB_C_GCT_USB4085";1;"USB_C_Receptacle_USB2.0";;;
9;"SW1";"SKQG-1155865";1;"SW_Push";;;
10;"C7";"C_0805_2012Metric";1;"10uF";;;
11;"R1,R4";"R_0805_2012Metric";2;"10k";;;
12;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-A";;;
13;"C2,C1";"C_0805_2012Metric";2;"22pF";;;
14;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
